,company,company_url,job_title,job_url,job_id,location,work_type,salary,posted_at,is_easy_apply,applicant_count,description,apply_url,posted_ago
0,Motion Recruitment,https://www.linkedin.com/company/motion-recruitment-partners/life,Data Engineer,https://www.linkedin.com/jobs/view/4261001152,4261001152,"Mountain View, CA",Hybrid,$75/hr,2025-07-02 18:01:43,True,over 100 applicants,"Our client, a leader in tax software with amazing culture, is hiring for a Data Engineer II. This is a hybrid position with 3 days onsite per week in Mountain View, California.
This role will be responsible for developing and translating computer algorithms into prototype code and maintaining, organizing, and identifying trends in large data sets. Proficiency in SQL database design, proficiency in creating process documentation, strong written and verbal communication skills, and the ability to work independently and on teams. Familiarity with the computer coding languages Python, Java, Kafka, Hive, or Storm may be required in order to oversee real-time business metric aggregation, data warehousing and querying, schema and data management, and related duties. Should have knowledge of algorithms, data structures, and performance optimism and experience with processing and interpreting data sets. Develop technical solutions to improve access to data and data usage. Understand data needs and advise company on technological resources. Aggregate and analyze various data sets to provide actionable insight. Develop reports, dashboards, and tools for business-users.
Contract Duration: 12 Months
What You'll Be Doing:Design, build, and maintain scalable data pipelines using Databricks and Spark, ensuring optimal data extraction, transformation, and loading from diverse data sources.Employ robust data modeling techniques to develop and optimize databases and large-scale processing systems.Use GitHub for version control, ensuring efficient collaboration and codebase management within our development teams.Ensure high-quality data reliability and streamline data flow to support advanced querying and analytics.Collaborate with data scientists and architects to enhance system performance and data integrity.Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.Troubleshoot and debug issues in data models, guaranteeing high performance and accessibility of our data systems.
Required Experience/Skills:Minimum of 3-4 years of experience as a Data Engineer.Proficiency in Databricks, Spark, SQL, and Python—must have solid experience in scripting and data manipulation.Experienced in building and maintaining data pipeline architectures.Strong familiarity with GitHub for version control and collaborative development.Excellent problem-solving, analytical, and communication skills.Ability to work effectively in a team environment.
Preferred Qualifications: Experience with cloud services like AWS, Azure, or Google Cloud Platform.",https://www.linkedin.com/jobs/view/4261001152,5
62,Centraprise,https://www.linkedin.com/company/centraprise/life,Tableau Developer (USC/GC/GC EAD),https://www.linkedin.com/jobs/view/4259560789,4259560789,"Plano, TX",Hybrid,,2025-07-02 18:40:03,True,27 applicants,"Job Role: Tableau Developer Location : Newark, DE / Plano, TX (Onsite Hybrid)Job Type: Full time/ Permanent
Job Description:5+ years of Experience in Tableau development (creating and publishing medium to complex dashboards).3+ years of experience in Hive, Impala.Understand Business/user requirements to create and maintain tableau dashboards based on the requirements.Optimize SQL queries for improving performances as part of Tableau dashboard Development.Provide dynamic service in identifying and solving issues ranging from extracts, user access and Dashboard development in Tableau Manage Tableau servers including access control, publishing and maintaining dashboards.Manage Tableau licenses for developers, end users and other stake holders in the Bank.Work with Tableau partners and CoE to upgrade tableau servers as per regulatory standards.Coordinates and facilitates routines to support delivery of technology solutions – e.g. kick-offs, status reviews, stakeholders meetings, change controls, and tollgates.Plans and coordinates delivery and dependencies across multiple technology teams.Facilitates dependency management, risk managements, and impediment removal for the defined deliverables.Promotes and facilitates communication and collaboration across organizations to support the deliverable completion and timeline. Articulate clear updates and critical path.Gathers and facilitates project updates for the deliverables to stakeholders and leadership pertaining to deliver, risks/issues and schedule.Ensures that execution is aligned with deliverable requirements by working with the sponsor and stakeholders.Identify any emerging risks/issues, escalated as needed, and identify critical path to resolve.Execute appropriate due diligence and financial management routines to deliver against financial commitments.Ensures deliverables comply with Enterprise Change Management standards and maintain evidence and systems for record for change.Supports resource planning for delivery/execution.Strong MS Excel skills to ensure cost reconciled with other systems of records.
Thanks & RegardsShaikh Mujahed Desk: 469-923-6788Mail: mujahed@centraprise.com",https://www.linkedin.com/jobs/view/4259560789,5
61,"LanceSoft, Inc.",https://www.linkedin.com/company/lancesoft/life,Data Engineer,https://www.linkedin.com/jobs/view/4259580572,4259580572,"Austin, TX",On-site,$50/hr - $65/hr,2025-07-02 19:30:16,True,93 applicants,"Location:- Austin,TXHourly Pay Rate Range - $50.00 - $65.00 /HR (Depending on working experience)
Note:- This only W2 role , No C2C
THE ROLE:This position will be within a central organization and tasked with designing, establishing, and maintaining the architecture necessary for Client, Graphics, and Semi-Custom teams to efficiently manage and leverage their data resources.
THE PERSON:We are seeking an experienced Data Engineer with a solid blend of technical expertise, analytical capabilities, and business acumen. The ideal candidate will possess the strategic thinking skills necessary to develop and implement robust data architectures that meet complex business requirements. They will be responsible for designing, building, and maintaining data pipelines and infrastructure, optimizing data storage solutions, and ensuring the seamless integration of data from various sources.
KEY RESPONSIBILITIES:• Perform duties of database administrator for snowflake, Postgres and MySQL databases.• Collaborate with data analysts, and other stakeholders to understand data requirements and provide the necessary infrastructure.• Design, build, and maintain robust data pipelines to collect, process, and transfer data from various sources to data storage solutions.• Create data models that facilitate efficient data storage, retrieval, and analysis in data warehouse.• Manage and optimize data warehouse, ensuring performance, security, and scalability.• Develop and implement ETL and ELT processes to integrate data from multiple sources, ensuring data quality and consistency.• Manage cloud-based data solution (Azure) to enhance data storage and processing capabilities• Create and maintain comprehensive documentation for data architecture, processes, and standards to ensure transparency and maintainability.
PREFERRED EXPERIENCE:• Experience working within semiconductor industry or related high-tech sectors• At least 5+ years of experience in SQL, including writing complex queries, optimizing performance, and managing large datasets.• At least 5+ years of experience in Python or similar languages, focusing on developing data processing scripts, automating data workflows, and implementing data pipelines.• Experience in administering and optimizing a Data Warehouse, including data loading, query performance tuning, and managing user access and security protocols (Snowflake is preferred).• Experience with big data technologies and cloud-based analytics platforms (Azure is preferred).• Experience in using data flow tools to design and manage data flows, ensuring efficient data ingestion, transformation, and routing between various data sources and systems. (Apache Nifi is preferred).• Experience collaborating with international teams, particularly in China and India.• Strong project management skills and experience leading cross-functional teams• Strong communication skills and the ability to collaborate effectively with semi-conductor engineers, data scientists, and business stakeholders
ACADEMIC CREDENTIALS:• Bachelor’s or Master's degree in Computer Science or Engineering preferred
Employee Benefits:At LanceSoft, full time regular employees who work a minimum of 30 hours a week or more are entitled to the following benefits:
Four options of medicalInsuranceDental and VisionInsurance401k ContributionsCritical IllnessInsuranceVoluntary Permanent LifeInsuranceAccident InsuranceOther Employee Perks
About LanceSoftLanceSoft is rated as one of the largest staffingfirms in the US by SIA. Our mission is to establish global cross-culture human connections that further the careers of our employees and strengthen the businesses of our clients. We are driven to use the power of our global network to connect businesses with the right people, and people with the right businesses without bias. We provide Global Workforce Solutions with a human touch.
EEO EmployerLanceSoft is a certifiedMinority Business Enterprise (MBE) and an equal opportunity employer. Weprohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state ,or local laws.This policy applies to all employment practices within our organization, including hiring, recruiting, promotion, termination, layoff, recall, leave of absence, compensation, benefits, training, and apprenticeship. LanceSoft makes hiring decisions based solely on qualifications, merit, and business needs at the time.Want to read more about LanceSoft?
Click here to visit our website - www.lancesoft.com",https://www.linkedin.com/jobs/view/4259580572,5
59,Kforce Inc,https://www.linkedin.com/company/kforce/life,Data Engineer,https://www.linkedin.com/jobs/view/4261013372,4261013372,"Smithfield, RI",Hybrid,$61/hr - $71/hr,2025-07-02 19:20:00,True,43 applicants,"Responsibilities

Kforce has a client in Smithfield, RI that is seeking a Data Engineer who will be working as part of an Agile Scrum team. Responsibilities:

 Building scalable and robust ETL data flows and databases using a range of technologies Recognize technology trends in the cloud space and assist in adopting fresh solutions as offered by cloud service providers Identifying and resolving issues within the production and non-production environments Collaborating with internal and external teams to deliver technology solutions for the business needs Documenting & sharing technical solutions and diagrams Designing and implementing solutions that align with the wider technology strategy Maintaining an atmosphere of collaboration, and approachability every day

Requirements

 8+ years of proven experience in database design and development using Oracle/PostgreSQL, NoSQL databases (DynamoDB, Aerospike) 5+ years of proven experience at programming in languages like SQL, R, and/or Python 4+ years of strong experience in ETL/ELT tools: Informatica or Snaplogic 3+ years of proven experience using AWS services S3, EMR, EC2, Lambda, Athena, CFT 3+ years of strong experience in Snowflake 3+ years of strong experience in Python, Java application development using Spring Boot 3+ years of experience in messaging technologies (Kafka, Kinesis, SNS, SQS) Good working knowledge in using Data Visualization tools - Tableau/Qlik/Power BI Strong knowledge in Java, J2EE, Spring MVC, Spring Core, Python Strong understanding of CI/CD tools such as Jenkins, Artifactory, Deploying applications in DevOps environment Deep understanding of API design, including versioning, API documentation (Swagger) Understanding of developing highly scalable distributed systems using Open-source technologies Good Understanding of E2E ALM tools like JIRA, gitStash, FishEye, Crucible, Maven, Jenkins, uDeploy Comfortable with Code Quality/Coverage tools (Sonar) Solid understanding of public/private cloud capabilities including compute, storage and scaling will be desirable Ability to deal with ambiguity and work in fast paced environment Ability to think out of box and design end-to-end solutions Passion and intellectual curiosity to learn new technologies and business areas Deep experience supporting critical applications quickly Excellent interpersonal skills, both through written and verbal channels Strong collaboration skills to work with multiple teams in the organization

The pay range is the lowest to highest compensation we reasonably in good faith believe we would pay at posting for this role. We may ultimately pay more or less than this range. Employee pay is based on factors like relevant education, qualifications, certifications, experience, skills, seniority, location, performance, union contract and business needs. This range may be modified in the future.

We offer comprehensive benefits including medical/dental/vision insurance, HSA, FSA, 401(k), and life, disability & ADD insurance to eligible employees. Salaried personnel receive paid time off. Hourly employees are not eligible for paid time off unless required by law. Hourly employees on a Service Contract Act project are eligible for paid sick leave.

Note: Pay is not considered compensation until it is earned, vested and determinable. The amount and availability of any compensation remains in Kforce's sole discretion unless and until paid and may be modified in its discretion consistent with the law.

This job is not eligible for bonuses, incentives or commissions.

Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.

By clicking “Apply Today” you agree to receive calls, AI-generated calls, text messages or emails from Kforce and its affiliates, and service providers. Note that if you choose to communicate with Kforce via text messaging the frequency may vary, and message and data rates may apply. Carriers are not liable for delayed or undelivered messages. You will always have the right to cease communicating via text by using key words such as STOP.",,5
58,Marathon TS,https://www.linkedin.com/company/marathon-ts/life,Data Engineer,https://www.linkedin.com/jobs/view/4260893728,4260893728,United States,Remote,$115K/yr - $135K/yr,2025-07-02 17:27:34,True,over 100 applicants,"Senior Data EngineerPosition Purpose:· Senior Data Engineers are critical to designing, implementing, and optimizing scalable data infrastructure to support the data needs of THD. This role involves managing complex data pipelines, ensuring data quality and accessibility, and enabling data-driven insights that drive business decisions. With expertise in Google Cloud Platform (GCP), SQL, and data engineering best practices, this role will guide and mentor junior engineers, collaborate cross-functionally, and make large impacts to advancing the company's data architecture and strategy. The engineering process is highly dynamic, and engineers are expected to collaborate through user stories and support products as they evolve. Activities include using specific HD process techniques, integration, design, testing, and development. The role will interface with Business Stakeholders, Technology Infrastructure teams, and Development teams to ensure that business requirements are properly met within a data solution. The role may also be involved in performance tuning, testing, and product monitoring.· Engineers should be able to operate independently with minimum guidance from others, although will typically work as part of a team with varying skill levels to create, support, and deploy production applications. This role will review submitted code and provide feedback to improve, based on best practices.· Major Tasks and Responsibilities· 60% Delivery and Execution – Collaborates with other team members to develop, optimize, and maintain scalable ETL/ELT workflows and data pipelines. Works with team members to troubleshoot and resolve data issues. Implements best practices for data quality, security, and efficiency. Documents, reviews, and ensures that all quality and change control standards are met. Works with Product Team to ensure user stories that are developer-ready, easy to understand, and testable. Configures commercial off the shelf solutions to align with evolving business needs. Creates meaningful dashboards, logging, alerting, and responses to ensure that issues are captured and addressed proactively.· 30% Support and Enablement - Mentor junior engineers, fostering skill development and adherence to best practices. Fields questions from other product teams or support teams. Monitors tools and participates in conversations to encourage collaboration across product teams. Provides application support for software running in production. Proactively monitors production Service Level Objectives for products. Proactively reviews the Performance and Capacity of all aspects of production: code, infrastructure, data, message processing, and quality.· 10% Learning - Participates in learning activities around modern software design, data engineering, and development core practices (communities of practice). Proactively views articles, tutorials, and videos to learn about new technologies and best practices being used within other technology organizations.
Qualifications:3-5 years of relevant work experienceBachelor's degree in computer science, data engineering, or related field (or equivalent experience).Strong proficiency in SQL, data processing, and a programming language (Python preferred).Deep expertise in effective data warehouse engineering practices and platforms such as BigQuery, Snowflake, Synapse, etc.Experience in version control systems (preferable Git)Experience with Google Cloud Platform and data engineering components such as Cloud Composer, Cloud Functions, Dataproc, etc.Experience with CI/CD (Jenkins)Experience with production systems design including High Availability, Disaster Recovery, Performance, Efficiency, and SecurityStrong problem-solving skills and attention to detail.
Knowledge, Skills, Abilities and Competencies:Global PerspectiveManages AmbiguityNimble LearningSelf-DevelopmentCollaboratesCultivates InnovationSituational AdaptabilityCommunicates Effectively",https://www.linkedin.com/jobs/view/4260893728,5
57,Vortalsoft Inc.,https://www.linkedin.com/company/vortalsoft-inc-/life,Data Reporting Analyst (QlickSense),https://www.linkedin.com/jobs/view/4259580170,4259580170,"Mountain View, CA",On-site,$45/hr - $47/hr,2025-07-02 19:22:22,True,12 applicants,"Job Title: data Reporting Analyst (qlickSense & SQL)Location: Mountain View, CA - Must be onsite 3 days/week Job Summary:We are seeking a skilled Reporting Analyst with strong experience in report consolidations, ClickSense, and SQL. The ideal candidate will be responsible for merging multiple reports into a single, functional report while maintaining the accuracy and integrity of the data and user interface (UI).Key Responsibilities:Perform report consolidations, combining multiple data reports into a single, streamlined report.Use ClickSense and SQL to build, modify, and maintain reporting solutions.Analyze existing reports to ensure functionality and data accuracy is preserved during the merge process.Maintain and troubleshoot the UI layer sheets post-merger to ensure optimal user experience.Identify and resolve errors that may arise during the report merging process.Required Skills & Qualifications:Proven experience in report consolidations.Strong proficiency in QlickSense and SQL (Must-have).Solid understanding of report analysis and UI design within business intelligence tools.Excellent problem-solving skills and attention to detail.Strong communication and documentation abilities.",https://www.linkedin.com/jobs/view/4259580170,5
56,Wiraa,https://www.linkedin.com/company/wiraa/life,Data Engineer,https://www.linkedin.com/jobs/view/4261015146,4261015146,United States,Remote,,2025-07-02 19:36:29,False,,"About The Company

Claritev is a forward-thinking organization dedicated to transforming healthcare through innovation, technology, and data-driven solutions. Our team comprises passionate professionals committed to excellence and service delivery.

We aim to bend the cost curve in healthcare, ensuring accessible and efficient care for all stakeholders. Our culture fosters boldness, innovation, accountability, diversity, and empowerment, creating an environment where every team member can thrive and contribute to meaningful change. As part of our transformational journey, we aspire to become a leading voice in healthcare technology, data, and innovation, continuously pushing the boundaries to improve healthcare outcomes.

About The Role

We are seeking a skilled Data Engineer to join our dynamic team at Claritev. In this role, you will be instrumental in designing, developing, and maintaining scalable data pipelines and infrastructure that support our healthcare data initiatives. You will collaborate closely with business users, data science teams, and technology partners to understand data needs, implement robust data structures, and ensure high data quality and security.

The ideal candidate will have a strong background in data modeling, SQL, and data processing systems, along with experience working with large datasets and advanced analytics tools. This role is pivotal in enabling data-driven decision-making, predictive modeling, and automation across our organization, all while adhering to strict compliance standards such as HIPAA.

Qualifications

Minimum high school diploma with four (4) years of relevant experience, including three (3) years working with OOP, SQL, schema designing, data modeling, and data processing systemsBachelor’s degree in Computer Science, Information Technology, or a related field (highly preferred)Experience with advanced analytics tools such as Python and PySparkProficiency in SQL, SPARK, and Azure Data Factory (ADF)Experience triaging data issues and analyzing end-to-end data pipelinesKnowledge of data governance, data quality, and data security standards, including collaboration with data stewards and security officersExperience with Databricks, SSIS, Hive, Impala, Kafka, and Big Data development is advantageousExposure to machine learning, data science, artificial intelligence, and related mathematical disciplinesExcellent communication skills, both verbal and writtenStrong problem-solving skills with the ability to work effectively in a cross-functional teamAbility to prioritize multiple projects, meet deadlines, and work under pressureAttention to detail in identifying data relationships, trends, and anomaliesUnderstanding of long-term impacts of design decisions and handling failure scenarios

Responsibilities

Understand and model business processes within various systems to support data initiativesCollaborate with business users, technical teams, and executives to gather and analyze data requirementsDesign, implement, and maintain data structures, workflows, and integrations across enterprise platformsDevelop and optimize scalable data pipelines to handle increasing data volume and complexityCreate and manage data warehouses, databases, tables, SQL queries, and ingestion pipelines for reporting, dashboards, and analyticsWrite complex, efficient queries for data transformation and modeling to support reporting and predictive analyticsPrepare data for machine learning, predictive, and prescriptive modeling effortsIdentify, analyze, and resolve data patterns, inconsistencies, and anomalies to improve data reliability and qualityWork closely with analytics, data science, and engineering teams to automate data analysis and visualization processesEnsure compliance with HIPAA and other relevant data security and privacy standardsMaintain documentation of data processes, pipelines, and infrastructure configurationsContinuously evaluate and improve data infrastructure to support organizational growth and innovationCommunicate technical concepts effectively to non-technical stakeholders

Benefits

Medical, dental, and vision insurance with low deductibles and copaysLife insurance and short/long-term disability coveragePaid parental leave and generous paid time off, accrued based on years of service401(k) plan with company match and Employee Stock Purchase PlanTuition reimbursement and professional development programsFlexible Spending Account and Employee Assistance Program10 paid company holidays annuallySick time benefits, with accruals based on hours workedOpportunities for career growth and advancement within a supportive work environment

Equal Opportunity

Claritev is an Equal Opportunity Employer. We are committed to creating an inclusive environment for all employees and applicants. We do not discriminate based on age, race, color, religion, gender, sexual orientation, gender identity, national origin, disability, veteran status, or any other protected characteristic.",https://www.wiraa.com/job-description/us9B30D8E0D8D579894138FE7E281969FA?source=Linkedin,5
55,Jobot Consulting,https://www.linkedin.com/company/jobot-consulting/life,AI & Data Engineer - Python,https://www.linkedin.com/jobs/view/4257185163,4257185163,"Cincinnati, OH",Remote,$75/hr - $100/hr,2025-07-02 17:25:16,True,over 100 applicants,"Want to learn more about this role and Jobot Consulting? Click our Jobot Consulting logo and follow our LinkedIn page!

Job details

About Us

We leverage the latest in AI and data to provide highly specific and accurate results to our clients across the country.

Job Details

Are you a good fit?

 Work with cutting-edge AI and data technologies to deliver precise results. Collaborate in a serverless-first, containerized environment. Utilize Python, SQL, Spark, AWS, Amazon Athena, CDK, Terraform, and Docker.Proficiency in Python and SQLExperience with AWS and DockerFamiliarity with infrastructure-as-code tools like Terraform

Want to learn more about this role and Jobot Consulting?

Click our Jobot Consulting logo and follow our LinkedIn page!

",https://www.linkedin.com/jobs/view/4257185163,5
52,Applied Systems,https://www.linkedin.com/company/applied-systems/life,Sr. Data Engineer,https://www.linkedin.com/jobs/view/4259563342,4259563342,United States,Remote,,2025-07-02 19:01:19,False,,"Job Description

 Amazing Career Moments Happen Here 

Transforming the insurance industry is ambitious, we know. That’s why at Applied, we’re building a team that shows up every day ready to learn, willing to try new things, and driven to deliver innovative software and services that make us indispensable to our customers – all within a culture built on values that make us indispensable to each other too. With 40+ years of experience in the insurtech game, we’re not just redefining what’s achievable, we’re creating a place where amazing career moments are made possible. 

Position Overview

We're seeking a Senior Data Engineer to build and enhance data solutions and AI initiatives for the business of insurance. In this role, you will work closely with the Principal Data Architect, Data Scientists, and Software Engineers to build, model, and maintain data solutions as we optimize data architecture and accessibility of large-scale datasets for our global teams.

What You’ll Do

 Code BigQuery procedures, functions, and other database objects by applying expert knowledge in BigQuery SQL and ANSI SQL  Implement scalable and efficient data models within our data lake, with a focus on BigQuery  Manage and optimize data storage, partitioning, and clustering strategies to ensure high performance and reliability of our data infrastructure  Develop and implement features and enhancements in BigQuery, levering your expertise in SQL and cloud-based data warehousing technologies  Collaborate with cross-functional teams to understand requirements and deliver solutions aligned with business objectives, security requirements, and guidelines for data governance  Develop documentation for the team to support design discussions  Ensure data integrity and quality by implementing robust data validation and error-handling mechanisms. Maintain and advocate for these standards through code review  Identify and implement improvements across the full lifecycle of data management, from ingestion to ETL processes and final reporting layers, to increase productivity on the team  Continuously build knowledge of industry trends and advancements in data engineering and big data technologies 

We’re Excited To Learn More About You

We’re looking for someone who:

 Can work remotely or from an Applied office 

Your experience should include some or all of the following:

 8+ years focused on modeling, building, and maintaining data solutions  Proven experience with BigQuery and cloud-based data warehousing solutions  Advanced knowledge of data modeling, data warehousing, and big data architecture  Experience managing and optimizing BigQuery and Google Cloud Platform data services  Proficiency in SQL and Python to manipulate, store, manage, or retrieve data assets  Knowledge of Agile frameworks, ideally Scrum, and tools like Jira and Confluence  Ability to communicate with global team members to clarify requirements, confirm priorities, and deliver solutions within committed timelines  Advanced analytical and problem-solving skills, with a detail-oriented mindset  Bachelor-level degree in Computer Science, MIS, or CIS, or equivalent experience  We proudly support and encourage people with military experience, as well as military spouses, to apply 

 When You Join Team Applied, You Can Expect: 

 A culture that values who you are  and recognizes that you aren’t just an employee; you are a teammate, and you matter. We thrive on the benefits of our different experiences and celebrate the uniqueness our teammates bring to work with them every day. 

 We flex our time together  , collaborating remotely and in-person to empower our teams to work in the ways that work best for them. 

 A comprehensive benefits and compensation package  that centers our teammates and helps them to bring their best to work every day: 

 Medical, Dental, and Vision Coverage   Holiday and Vacation Time   Health & Wellness Days   A Bonus Day for Your Birthday  

Learn more about the people behind our products at https://www1.appliedsystems.com/en-us/about-us/jobs/

 Your Security Matters: 

Our candidates’ personal information and online safety are top of mind for us. At Applied, we proactively protect your personal information and only communicate with candidates via a secure @appliedsystems.com email or through our official careers portal. Recruiters will never request payments, ask for financial account information or sensitive information like social security numbers. 

 EEO Statement 

Applied Systems is proud to be an Equal Employment Opportunity Employer. Diversity and Inclusion is a business imperative and is a part of building our brand and reputation. At Applied, we don’t discriminate, and we are committed to recruit, develop, retain , and promote regardless of race, religion, color, national origin, sexual orientation, gender identity, disability, age, veteran status, and other protected status as required by applicable law.

",https://careers-appliedsystems.icims.com/jobs/6711/sr.-data-engineer/job?hub=15&in_iframe=1&mode=job&iis=LinkedIn,5
50,ROI Solutions,https://www.linkedin.com/company/roi-solutions/life,Data Platform Engineer (Snowflake),https://www.linkedin.com/jobs/view/4261012739,4261012739,United States,Remote,,2025-07-02 19:27:54,False,,"About the Position:
As a Data Platform Engineer at ROI Solutions, you will play a critical role in leading the migration from legacy systems to Snowflake and ensuring we design a future-ready data platform in the process. This role is focused on internal collaboration rather than direct client interaction, and your work will directly support the strategic objectives of ROI Solutions. You will work closely with internal stakeholders to ensure that the architecture you design not only meets today's requirements but also anticipates and supports future business needs, in alignment with ROI's mission to empower nonprofits. 
Skills and Experience Preferred:
Experience in cloud-based data platforms, with a focus on Snowflake (2+ years).Experience working with AWS Services (2+ years), particularly in the context of Snowflake integration, performance optimization, and security.Experience (2+ years) with data integration tools such as Fivetran and DBT, particularly in migration and cloud-oriented architecture scenarios.Broad experience (1+ years) working with Relational Databases such as Oracle and Postgres.Proficiency in data modeling and modern design approaches.Excellent problem-solving skills.Strong communication skills, with the ability to articulate complex technical concepts and strategic visions to a diverse audience.Excellent time management skills with a proven ability to meet deadlines. Proficient with Microsoft Office 365 Suite or related software preferred. 
Other Nice to Have Qualifications:
Strong knowledge of data governance, security, and compliance, especially in nonprofit data management.Knowledge of Java, particularly in data processing, integration, and supporting complex data workflows.Excellent interpersonal skills.Excellent organizational skills and attention to detail. Bachelor’s degree in Computer Science, Information Technology, or a related field. 
What You Will Be Doing In This Role: 
Contribute to the migration from legacy data tools (Oracle, Redshift, Windows services, and Glue) to reimagined toolset (Snowflake, DBT, Fivetran, etc). Ensuring minimal disruption and maximum data integrity throughout the process.Support data systems via ongoing monitoring, maintenance and day to day tuning.Collaborate closely with internal teams to understand business needs, translating them into technical solutions that support both current and future objectives.Maintain robust data security measures, including encryption, access controls, and compliance with relevant regulations, particularly within nonprofit data needs.Travel for in-person work meetings and company gatherings is required (very infrequently).
If you don't meet every requirement mentioned above, don't worry. We strongly believe in creating a diverse and inclusive work environment. So, if you find this job opportunity interesting but don't exactly fit every qualification mentioned in the job description, we encourage you to apply anyway. You might be the perfect candidate for this or other similar roles.
PLEASE NOTE:
This role is ONLY available for work in the following (21) locations: AL, AR, CO, FL, IL, KY, MA, MD, ME, MN, NC, NH, NJ, PA, SC, VA, VT, WA, WI, WV, and DC.This role will be working on Eastern Standard Time.This role is posted as remote but could be hybrid or in-office if that fits your best working style.
Who We Are: 
ROI Solutions was founded in 1999 to help nonprofit organizations change the world through innovative technology solutions and services. We are focused on sustainable growth, hiring staff committed to working with the nonprofit sector, and constantly evolving our technology and services to help nonprofits succeed in their missions with passion and purpose. This is our calling. 
We’re a proudly independent company, meaning we answer only to our clients rather than shareholders and investors. Our clients inspire our product and solution roadmaps, as well as our strategic direction. We’re committed to this model and the opportunity it provides us to develop our solutions based on needs in the nonprofit sector.  We truly believe our clients are partners in our desire to improve the world. As a result, we work only with nonprofit organizations and socially responsible companies whose values and missions align with ours. They are the most influential and progressive organizations in animal rights & welfare, social justice & civil rights, equality, environmental protection, gun control, health & human services, and public media. We’re proud to empower their efforts and their impact. 
We constantly evaluate our products and services to ensure they evolve to meet our clients needs. Our innovative solutions and services are based on best practices that help lower costs, increase constituent involvement, improve operational efficiency, provide insights, and allow organizations to adopt new methods and approaches to their work. As a result, we embrace technological advances that significantly impact our ability to serve the nonprofit sector.",https://roisolutions.bamboohr.com/careers/84?source=aWQ9MTk%3D,5
