company,company_url,job_title,job_url,job_id,location,work_type,salary,posted_at,is_easy_apply,applicant_count,description,apply_url
Lucas James Talent Partners,https://www.linkedin.com/company/lucas-james-talent-partners/life,Lead Data Engineer,https://www.linkedin.com/jobs/view/4256565545,4256565545,"Chicago, IL",Hybrid,,2025-06-26 23:39:45,False,,"Lead Data Engineer / Engineering Manager (onsite Tues, Wed, and Thurs)
 We're a dynamic marketing startup seeking a versatile and hands-on Lead Data Engineer to drive our data operations forward. As we grow rapidly, you'll wear multiple hats, leading a small but mighty team of engineers while staying deeply involved in technical work. 

 What You'll Do: 
- Spearhead our data engineering efforts, building and scaling our infrastructure from the ground up
 - Lead, mentor, and grow a lean team of talented engineers
 - Get your hands dirty with coding, troubleshooting, and system design
 - Rapidly prototype and implement data solutions to meet evolving business needs
 - Collaborate closely with cross-functional teams, from marketing to product
 - Make critical technical decisions that will shape our company's future 

 What You'll Bring:
 - 5+ years of data engineering experience, with 2+ years in a leadership role 
- Mastery of Python (Object-oriented & Functional Programming) and a strong command of AWS services
 - Proficiency with Git, Docker, Kubernetes, and Jenkins
 - Shell scripting skills and familiarity with CI/CD processes
 - Experience building and optimizing data pipelines, architectures, and data sets
 - Ability to thrive in ambiguity and adapt quickly to changing priorities
 - Passionate about staying current with the latest data engineering trends and technologies
 - Strong communication skills and ability to explain complex concepts to non-technical stakeholders
 - We are on a hybrid schedule, in the office on Tuesdays, Wednesdays, and Thursdays.
 Nice-to-Haves:
 - Experience in a high-growth startup environment
 - Background in marketing analytics or ad tech
 - Familiarity with machine learning workflows
 - Contributions to open-source projects

 The X-Factor:
 - You're a problem solver at heart, energized by challenges and continuous learning
 - You have a bias for action and can balance speed with quality in a fast-paced environment
 - You're comfortable with ambiguity and excited about building something from scratch
 - Growth Mindset: you're a learn-it-all, not a know-it-all
 - Pragmatic: You deliver practical solutions that provide quick value 

 We offer the opportunity to make a significant impact in a rapidly growing company. If you're excited about rolling up your sleeves, wearing multiple hats, and shaping the future of data-driven marketing, we want to hear from you! We're more interested in your skills and passion than formal qualifications. If you don't tick all the boxes but think you'd be great for this role, we would like to encourage you to apply. All applicants must be authorized to work in the United States for any employer without the need for current or future sponsorship. 
 



Benefits

Medical
Dental
401k match



",https://recruit.zoho.com/recruit/ViewJob.na?digest=Nyi9VFWIsbMXNaN0qju4E6KhkDs6rYG9j3qdOVinULQ-&embedsource=LinkedIn%2BLimited%2BListings
Vertex Elite LLC,https://www.linkedin.com/company/vertex-elite-llc/life,Data Engineer with Ataccama,https://www.linkedin.com/jobs/view/4256505777,4256505777,United States,Remote,,2025-06-26 15:27:00,True,over 100 applicants,"Hello, ""Data Engineer"" with Ataccama We have an urgent requirement for a ""Data Engineer"" with one of our direct clients, please share your updated resume if interested. 
Role: ""Data Engineer"" (Ataccama)Location: RemoteDuration: Long-term 
Description:1. Configuration Management:Configure and optimize Ataccama ONE modules to meet organizational requirements Manage configurations for different modules in multiple environments 2. Data Integration:Establish and maintain data connections for effective data processing and integration.Ensure seamless integration of data across various systems.3. Customization and Enhancement:Enhance user experience through customized Ataccama configurations and solutions Modify security and logging options to suit specific environments.
With Best Regards, Srikanth Nakka | Technical RecruiterEmail: srikanth@vertexelites.comContact : +1 (832) 626-0589 Ext 108 | Direct : +1 (832) 353-3407linkedin.com/in/srikanth-n-750884324Vertex Elite LLC | E-Verified Company | www.vertexelites.com",https://www.linkedin.com/job-apply/4256505777
Stratacent,https://www.linkedin.com/company/stratacent/life,MS Fabric Data Engineer,https://www.linkedin.com/jobs/view/4255445954,4255445954,United States,Remote,,2025-06-26 23:47:24,True,47 applicants,"Title: Data EngineerLocation: RemoteDuration: Fulltime (W2) 
Job Summary:The ideal candidate will possess deep technical skills in Microsoft Fabric data engineering includingPowerBI, with proven ability in end-to-end integrations, custom connectors, real-time data processing, and secure API management using OAuth 2.0. The resource will be responsible for architectural strategy, solution delivery, governance, security setup and administration.
Key Responsibilities:Lead the design and architecture of Microsoft Fabric data engineering solutions and Power BI visualizations that are scalable, secure, and aligned with business goals.Proficiency in Power BI development, data modeling, and visualization concepts with expertise in building PBI dashboardsExperience with SQL and DAX, along with familiarity with data warehouse conceptsBuild custom connectors, integrate with third-party services and internal APIs, and enable real-time data integrations across systems.Integrate with 3rd party systems like SAP, Salesforce, IBM OpenPages, Azure Data Factory, SQL,and other enterprise data systems for analytics and data-driven applications.Drive OAuth 2.0-based authorization flows for secure and compliant system integrations.Design and maintain Azure API Management (APIM) interfaces with version control, policyenforcement, and monitoring.Ensure best practices for application lifecycle management (ALM) using tools like Azure DevOps or GitHub.Guide and mentor development teams, enforce coding standards, and ensure architectural alignment across multiple projects.Collaborate closely with business users, IT leaders, and project managers to translate requirements into technical solutions.Experience in configuring Power BI Service for enterprise-wide access, sharing, and collaborationEstablish governance frameworks for user roles, permissions, and data access
Required Skills and Experience:10+ years in software/application development and enterprise architecture.5+ years in Data Engineering with at least 1.5 years in Microsoft Fabric.Proven experience in custom connectors, REST APIs, OAuth 2.0, webhooks, and API-based integrations.Strong knowledge of front-end and back-end integration, including UI/UX development principles.Experience integrating with Databricks, Azure Services, and cloud/on-prem systems.Excellent understanding of real-time data integration and event-driven architecture.Experience with CI/CD pipelines for Power Platform and automation using Azure DevOps and GitHub.Excellent communication, stakeholder engagement, and documentation skills.
Preferred Certifications:Microsoft Certified: DP 700
About Us:Stratacent is an IT Managed Services firm, headquartered in Jersey City, NJ, with two global delivery centres in New York City area and New Delhi area plus offices in London, Canada and Pune, India.We are a leading IT services provider focusing in Financial Services, Insurance, Healthcare and Life Sciences. We help our customers in their digital transformation journey and provide solutions around cloud infrastructure, containers, AI, Client & Analytics and Automation.We have partnerships with SAS, Automation Anywhere, Snowflake, Azure, AWS and GCP.(To learn more: www.stratacent.com ).
 BenefitsHealth Insurance (Co Pay)Vision PlanDental PlanPaid Time Off401k (No Match)Continuous Learning Program",https://www.linkedin.com/job-apply/4255445954
Lensa,https://www.linkedin.com/company/lensa/life,ETL Engineer (Remote),https://www.linkedin.com/jobs/view/4256394016,4256394016,"Springfield, IL",Remote,$90K/yr - $110K/yr,2025-06-26 13:54:40,False,,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmployers to promote this job for GovCIO.

Overview

GovCIO is currently hiring an ETL Engineer (Remote) to combine data from different sources into unified views for analysis and reporting. This position transforms data into formats that can be analyzed and loads it into a target database or data warehouse. This position will be fully remote located within the United States.

Responsibilities

Follow data quality best practices. Maintain data domains. Oversee daily operations. Combine data from different sources into unified views. Perform ongoing VistA table configuration Support existing and new ETL processes, along with data distribution 

Qualifications

Required Skills and Experience:

Bachelor's with 5 - 8 years (or commensurate experience)

Preferred Skills And Experience

Familiarity with Agile methodologies and project management tools. Certifications in relevant technologies. 

Clearance Required: Ability to obtain and maintain a suitability/Public Trust

#TAPS

Company Overview

GovCIO is a team of transformers--people who are passionate about transforming government IT. Every day, we make a positive impact by delivering innovative IT services and solutions that improve how government agencies operate and serve our citizens.

But we can't do it alone. We need great people to help us do great things - for our customers, our culture, and our ability to attract other great people. We are changing the face of government IT and building a workforce that fuels this mission. Are you ready to be a transformer?

What You Can Expect

Interview & Hiring Process

If you are selected to move forward through the process, here’s what you canexpect:

During the Interview Process Virtual video interview conducted via video with the hiring manager and/or team Camera must be on A valid photo ID must be presented during each interview During the Hiring Process Enhanced Biometrics ID verification screening Background check, to include: Criminal history (past 7 years) Verification of your highest level of education Verification of your employment history (past 7 years), based on information provided in your application 

Employee Perks

Benefits

At GovCIO, we consistently hear that meaningful work and a collaborative team environment are two of the top reasons our employees enjoy working here. In addition, our employees have access to a range of perks and benefits to support their personal and professional well-being, beyond the standard company offered health benefits, including:

Employee Assistance Program (EAP) Corporate Discounts Learning & Development platform, to include certification preparation content Training, Education and Certification Assistance* Referral Bonus Program Internal Mobility Program Pet Insurance Flexible Work Environment Available to full-time employees

Our employees’ unique talents and contributions are the driving force behind our success in supporting our customers, which ultimately fuels the success of our company. Join us and be a part of a culture that invests in its people and prioritizes continuous enhancement of the employee experience.

We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, disability, or status as a protected veteran. EOE, including disability/vets.

Posted Pay Range

The posted pay range, if referenced, reflects the range expected for this position at the commencement of employment, however, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, education, experience, and internal equity. The total compensation package for this position may also include other compensation elements, to be discussed during the hiring process. If hired, employee will be in an “at-will position” and the GovCIO reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, GovCIO or individual department/team performance, and market factors.

Posted Salary Range

USD $90,000.00 - USD $110,000.00 /Yr.

Submit a referral to this job (https://careers-govcio.icims.com/jobs/6130/etl-engineer-%28remote%29/job?mode=apply&apply=yes&in_iframe=1&hashed=-1834385473)

Location US-Remote

ID 2025-6130

Category Information Technology

Position Type Full-Time

If you have questions about this posting, please contact support@lensa.com",https://lensa.com/cgw/36fea2bc72e144279079d5f59c4a10eatjo1?jpsi=directemployers&publisher_preference=easier_apply&utm_campaign=Computer%20Occupations&utm_medium=slot&utm_source=linkedin&utm_term=manual
TikTok,https://www.linkedin.com/company/tiktok/life,Data Engineer - Data Platform,https://www.linkedin.com/jobs/view/4256562163,4256562163,"San Jose, CA",On-site,$194K/yr - $410K/yr,2025-06-26 22:19:10,True,over 100 applicants,"Responsibilities
As a data engineer in the data platform team, you will have the opportunity to build, optimize and grow one of the largest data platforms in the world. You'll have the opportunity to gain hands-on experience on all kinds of systems in the data platform ecosystem. Your work will have a direct and huge impact on the company's core products as well as hundreds of millions of users.

Responsibilities - What You'll Do
• Design and build data transformations efficiently and reliably for different purposes (e.g. reporting, growth analysis, multi-dimensional analysis);
• Design and implement reliable, scalable, robust and extensible big data systems that support core products and business;
• Establish solid design and best engineering practice for engineers as well as non-technical people.

Qualifications
Minimum Qualifications: 
• BS or MS degree in Computer Science or related technical field or equivalent practical experience;
• Experience in the Big Data technologies(Hadoop, M/R, Hive, Spark, Metastore, Presto, Flume, Kafka, ClickHouse, Flink etc.);
• Experience with performing data analysis, data ingestion and data integration;
• Experience with ETL(Extraction, Transformation & Loading) and architecting data systems;
• Experience with schema design, data modeling and SQL queries;
• Passionate and self-motivated about technologies in the Big Data area.

About TikTok
TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and we also have offices in New York City, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.


Why Join Us
Inspiring creativity is at the core of TikTok's mission. Our innovative product is built to help people authentically express themselves, discover and connect – and our global, diverse teams make that possible. Together, we create value for our communities, inspire creativity and bring joy - a mission we work towards every day.
We strive to do great things with great people. We lead with curiosity, humility, and a desire to make impact in a rapidly growing tech company. Every challenge is an opportunity to learn and innovate as one team. We're resilient and embrace challenges as they come. By constantly iterating and fostering an ""Always Day 1"" mindset, we achieve meaningful breakthroughs for ourselves, our company, and our users. When we create and grow together, the possibilities are limitless. Join us.

Diversity & Inclusion
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.


TikTok Accommodation
TikTok is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities, pregnancy, sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation, please reach out to us at https://tinyurl.com/RA-request


Job Information
【For Pay Transparency】Compensation Description (Annually)
The base salary range for this position in the selected city is $194000 - $410000 annually.
Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.
Benefits may vary depending on the nature of employment and the country work location. Employees have day one access to medical, dental, and vision insurance, a 401(k) savings plan with company match, paid parental leave, short-term and long-term disability coverage, life insurance, wellbeing benefits, among others. Employees also receive 10 paid holidays per year, 10 paid sick days per year and 17 days of Paid Personal Time (prorated upon hire with increasing accruals by tenure).
The Company reserves the right to modify or change these benefits programs at any time, with or without notice.
For Los Angeles County (unincorporated) Candidates:
Qualified applicants with arrest or conviction records will be considered for employment in accordance with all federal, state, and local laws including the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act. Our company believes that criminal history may have a direct, adverse and negative relationship on the following job duties, potentially resulting in the withdrawal of the conditional offer of employment:
1. Interacting and occasionally having unsupervised contact with internal/external clients and/or colleagues;
2. Appropriately handling and managing confidential information including proprietary and trade secret information and access to information technology systems; and
3. Exercising sound judgment.",https://www.linkedin.com/job-apply/4256562163
Lensa,https://www.linkedin.com/company/lensa/life,Data Engineer [remote work],https://www.linkedin.com/jobs/view/4256387618,4256387618,"Fort Walton Beach, FL",Remote,$75.5K/yr - $128.3K/yr,2025-06-26 13:54:54,False,,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmployers to promote this job for BAE Systems USA.

Job Description

We are seeking a skilled Data Engineer with expertise in Artificial Intelligence (AI) and Machine Learning (ML) to join our team. The successful candidate will build and maintain large-scale data systems that support AI/ML applications, develop and deploy AI/ML models to drive business growth and improve decision-making.

100% Remote or Hybrid work arrangement, with occasional visits to the office. US Citizenship or Green Card required 

Key Responsibilities

Design and implement data pipelines to ingest, process, and store large datasets from various sources Develop and deploy AI/ML models using techniques such as supervised and unsupervised learning, deep learning, and natural language processing Build and maintain data warehouses, including data modeling, data governance, and data quality Develop data architectures to support AI/ML applications, including data lakes, data marts, and data hubs Collaborate with data scientists to develop and deploy AI/ML models, including data preparation, feature engineering, and model evaluation Ensure data quality and integrity by developing and implementing data validation, cleansing, and normalization processes Optimize data systems for performance, scalability, and reliability Stay up to date with industry trends in AI/ML, data engineering, and data science, and apply this knowledge to develop innovative solutions 

Required Education, Experience, & Skills

Bachelor's or Master's degree in Computer Science or a related field, with at least 6 years of experience in Information Technology

6 years expereience developing and deploying AI/ML models using techniques such as supervised and unsupervised learning, deep learning, and natural language processing

Programming skills in languages such as Python, Java, Scala, or C Experience with data storage solutions such as relational databases (Oracle, SQL Server), NoSQL databases, or cloud-based data warehouses (Redshift) Experience with data processing frameworks such as Apache Kafka, Fivetran. Experience in building ETL pipelines using AWS Glue, Apache Airflow, and programming languages including Python and PySpark. Experience with AI/ML frameworks and tools such as TensorFlow, PyTorch, scikit-learn, or Keras Experience with cloud platforms including AWS and AWS Services or Azure. Experience with containerization using Docker and orchestration using Kubernetes Experience with machine learning engineering tools such as MLflow, TensorFlow Extended, or AWS Sage Maker Experience with agile development methodologies such as Scrum or Kanban Certifications in data engineering, AI/ML, or related fields 

Pay Information

Full-Time Salary Range: $75510 - $128340

Please note: This range is based on our market pay structures. However, individual salaries are determined by a variety of factors including, but not limited to: business considerations, local market conditions, and internal equity, as well as candidate qualifications, such as skills, education, and experience.

Employee Benefits: At BAE Systems, we support our employees in all aspects of their life, including their health and financial well-being. Regular employees scheduled to work 20 hours per week are offered: health, dental, and vision insurance; health savings accounts; a 401(k) savings plan; disability coverage; and life and accident insurance. We also have an employee assistance program, a legal plan, and other perks including discounts on things like home, auto, and pet insurance. Our leave programs include paid time off, paid holidays, as well as other types of leave, including paid parental, military, bereavement, and any applicable federal and state sick leave. Employees may participate in the company recognition program to receive monetary or non-monetary recognition awards. Other incentives may be available based on position level and/or job specifics.

Data Engineer [remote work]

112020BR

EEO Career Site Equal Opportunity Employer. Minorities . females . veterans . individuals with disabilities . sexual orientation . gender identity . gender expression

If you have questions about this posting, please contact support@lensa.com",https://lensa.com/cgw/b98bc75c86df4d18a770c6d65206db88tjo1?jpsi=directemployers&publisher_preference=easier_apply&utm_campaign=Computer%20Occupations&utm_medium=slot&utm_source=linkedin&utm_term=manual
Apexon,https://www.linkedin.com/company/apexon/life,Data Engineer,https://www.linkedin.com/jobs/view/4256509646,4256509646,"Dallas, TX",On-site,,2025-06-26 15:42:29,True,over 100 applicants,"Must Have :Develop/Maintain programs in SSIS/ Spark/ SQL Stored Procedures as part of ELT/ETL pipelinesExperience with BI Tools like TableauProficient in writing SQL queries and data analysisKnowledge of relational database management systems like SQL Server/SnowflakeExperience in programming languages like Java/Scala
Great to Have:Experience with big data technologies like Hadoop, Spark, and KafkaImplement scalable solutions to meet the ever-increasing data volumes, using big data/cloud technologies Apache SparkPrior experience working in Banking/Finance domain
Experience with Big Data Technologies - Spark (Java) for handling large-scale data processingProficiency in SQL and Database - querying, managing, and manipulating data setsKnowledge of Cloud Platforms - data storage, processing, and deployment in a scalable environment (Azure)",https://www.linkedin.com/job-apply/4256509646
Jobs via Dice,https://www.linkedin.com/company/jobs-via-dice/life,Senior AWS Data Engineer,https://www.linkedin.com/jobs/view/4256539804,4256539804,United States,Remote,,2025-06-26 20:08:51,False,,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Raas Infotek LLC, is seeking the following. Apply via Dice today!

Job Role: Senior AWS Data Engineer

Location: Remote

Duration: 12+ Months (Long-Term Contract)

Experience: 12+ Years

Job Description

Experience with tools like AWS Glue, Step Functions, Airflow, or cron jobs; ability to handle batch and streaming data.Experience with AWS Lambda, ECS, Fargate, S3, and IAM; understanding of cost optimization and containerization using Docker.Usage of Snowflake, SingleStore, Redshift, Kafka, Glue, and ability to design low-latency pipelines.Strong command over Python (Pandas, NumPy, Flask), SQL, and optionally JavaScript or Shell scripting. Use of unit testing frameworks like Pytest is a bonus.Understanding of IAM policies, role-based access control, Snyk/code scanning, and CI/CD practices with Git, Jenkins, or similar tools.AWS Certification preferred",https://click.appcast.io/t/HktMLZ-qbKHRFLqAfBpN-_eVNlj_29_RqMnZ7eztMwo=
Jobright.ai,https://www.linkedin.com/company/jobright-ai/life,"Data Analytics Engineer, New Grad & Entry Level",https://www.linkedin.com/jobs/view/4256546619,4256546619,United States,Remote,,2025-06-26 21:17:46,False,,"Who we areAdelaide is the leader in one of the fastest-growing areas of digital advertising: attention metrics. Since 2020, we’ve been a trusted measurement partner for 40% of Fortune 50 companies. They rely on our metric, AU, to maximize the effectiveness of media spend. AU is “the attention economy's most widely recognized metric,” according to Adweek, and we swept the measurement category in the 2024 Adexchanger awards.
Position OverviewThis position reports to the Senior Data Analytics Engineer; it will behave cross functionally across Data teams with an emphasis on supporting the Analytics team and their workflows.In this role, you will be joining a team of data scientists and engineers. You'll help build and maintain the semantic layer of our data pipeline, ensuring clean, consistent, and reusable data models. Day-to-day activities range from developing and testing data models, editing LookML, managing a data catalog, automating data analysis workflows, and working closely with stakeholders to understand and support their data needs.
What you'll learnAn important part of our culture is continuing education and the sharing of ideas. We offer:A large network of investors and advisors for you to access that will help your team succeedMentorship from executives with decades of experience in adtech and mediaRegular internal knowledge-sharing sessionsEducation budget to accelerate your team’s development
Core responsibilities:Assist in building, testing, and maintaining transformational data models (dbt, Redshift)Help create and manage a clean, reliable reporting layer in Looker using LookMLWork cross-functionally with emphasized support to the Analytics TeamHelp identify and automate manual data analysis processes (Python, dbt)Contribute to maintaining a well-organized data catalog with accurate, accessible metadata for both technical and non-technical audiencesEnsure metric consistency across dashboards and data toolsCollaborate with analysts and PMs to document key metrics and definitionsMonitor adoption and identify opportunities for improved data usability
What you'll bring:SQL Proficiency – Strong ability to write, optimize, and debug SQL queries. You also understand data modeling and warehouse best practices, and you’re committed to writing clean, readable, and well-documented code.BI & Visualization Tools – Hands-on experience with BI/dashboarding platforms (e.g., Looker, Tableau).Data Modeling Tools – Familiarity with semantic modeling tools (e.g., LookML) and dbt; understanding of ETL concepts. Experience with orchestration tools (e.g., Airflow) is a plus.Data Quality & Testing – Strong attention to detail in building data validation, profiling routines, and root cause analysis workflows.Programming Skills – Experience with Python for data transformation, scripting, and automation; experience with associated libraries (e.g., pandas, openpyxl) is a plus.Communication & Collaboration – Excellent interpersonal skills with experience working cross-functionally; ability to translate technical concepts for non-technical audiences and deliver training/support.Educational Background & Experience – Bachelor’s degree in a quantitative, technical, or analytical field (e.g., Computer Science, Math, Physics, Engineering) or a rigorous coding bootcamp with a portfolio demonstrating the above skills.",https://jobright.ai/jobs/info/6859f854d3b885d69bbfe235?utm_source=1124
Recruiting from Scratch,https://www.linkedin.com/company/recruiting-from-scratch/life,Senior Data Engineer,https://www.linkedin.com/jobs/view/4256565174,4256565174,United States,Remote,$135K/yr - $150K/yr,2025-06-26 23:19:30,True,over 100 applicants,"Who is Recruiting from Scratch: Recruiting from Scratch is a talent firm that focuses on placing the best candidate for our clients. Our team is 100% remote and we work with teams across North America, South America, and Europe to help them hire.https://www.recruitingfromscratch.com/
Title of Role: Senior Analytics EngineerLocation: Remote - United StatesCompany Stage of Funding: Public CompanyOffice Type: RemoteSalary: $135,000 - $150,000 base + bonus + full benefits
Company DescriptionWe are partnering with a pioneering education technology company that has been shaping the future of K–12 learning for over two decades. This organization builds immersive digital experiences in reading, math, and science—serving over 15 million students across all 50 states. Their programs integrate formative assessments, next-generation curriculum, and powerful educator tools to improve student outcomes and instructional insight at scale.This company is widely recognized for combining the agility of a modern tech company with the rigor and mission of educational excellence. They are actively expanding their data engineering team to enhance how students, teachers, and administrators engage with and leverage data in the learning process.
What You Will DoAs a Senior Analytics Engineer, you will join a multidisciplinary data team that powers the company’s insights infrastructure. You’ll be responsible for developing scalable, well-documented, and testable data pipelines and models that support product teams, educators, administrators, and internal operations.
Key Responsibilities:Build and maintain ELT pipelines using modern tools like dbt, Fivetran, Airflow, and Snowflake.Partner with data scientists, analysts, and business users to model clean, modular, and reusable datasets for internal reporting and product analytics.Support K–12 administrators and educators by building metrics and dimensional models that visualize teaching practices and student learning progress.Work with product teams to express student learning data through flexible and rich schemas for adaptive educational experiences.Collaborate with marketing, sales, and finance to unify data across ERP and CRM systems (e.g., Salesforce, HubSpot, Netsuite) and enable actionable reporting.Analyze performance and debug tricky data issues using SQL, Python, and visualization tools like Tableau and Looker.Contribute to a data-driven culture by creating documentation, participating in cross-functional learning sessions, and mentoring junior team members.Ideal Candidate Background5+ years of experience in data engineering, analytics engineering, or software development focused on data systems.Expert-level proficiency with SQL and strong understanding of ETL/ELT frameworks, preferably using dbt.Solid grasp of analytical data modeling principles, especially Kimball-style dimensional modeling.Demonstrated experience building reliable and efficient pipelines, with a focus on business logic, maintainability, and performance.Strong communication skills—capable of translating complex data concepts for both technical and non-technical audiences.Passion for education or other mission-driven fields is a strong plus.PreferredFluency in Python for scripting and data analysis.Experience with data orchestration tools like Airflow, Matillion, or Fivetran.Familiarity with cloud data platforms such as Snowflake and AWS (S3, RDS, DynamoDB).Proficiency with BI tools such as Tableau or Looker.Exposure to metadata management tools like Atlan.Prior work in education or ed-tech, or contribution to data modeling standards like Caliper Analytics or EdFi.Compensation and BenefitsBase Salary: $135,000 - $150,000Bonus: Annual discretionary bonus based on individual and company performanceEquity: N/A (Public company)Benefits Include:Comprehensive health, dental, vision, and mental health coverage401(k) retirement planGenerous PTO and parental leaveBasic life insuranceAccess to top-tier professional development programsThis role offers a unique opportunity to work at the forefront of educational transformation, delivering data solutions that empower millions of learners and educators. If you're passionate about analytics engineering and education, we encourage you to apply.https://www.recruitingfromscratch.com/",https://www.linkedin.com/job-apply/4256565174
